company,phone,email,website,address,city,state,rating,reviews,lead_score,tier
SBRI Epoxy,,,,5.0,Rockford,IL,5,0,55,WARM
Diedrich Epoxy Flooring,,,,5.0,Rockford,IL,5,0,55,WARM
Perry's Decorative Concrete and Painting,,,,4.8,Rockford,IL,4.8,0,55,WARM
Epoxy Worx - Concrete Coatings,,,,4.8,Rockford,IL,4.8,0,55,WARM
Naperville Painting and Epoxy Flooring,,,,4.7,Rockford,IL,4.7,0,55,WARM
Deluxe Epoxy Flooring,,,,4.8,Rockford,IL,4.8,0,55,WARM
James Concrete Polishing,,,,4.6,Rockford,IL,4.6,0,55,WARM
Omega Grind LLC - Concrete Polishing and Epoxy Flooring,,,,5.0,Rockford,IL,5,0,55,WARM
Elegant Epoxy Flooring,,,,4.7,Rockford,IL,4.7,0,55,WARM
Miller’s Epoxy Solutions,,,,5.0,Rockford,IL,5,0,55,WARM
Route 84 Epoxy Floors,,,,5.0,Rockford,IL,5,0,55,WARM
Central Illinois Epoxy LLC,,,,5.0,Rockford,IL,5,0,55,WARM
Garage Floor Coating of Central Illinois,,,,5.0,Rockford,IL,5,0,55,WARM
Precision Epoxy,,,,5.0,Rockford,IL,5,0,55,WARM
PERFECT EPOXY FLOOR COATING LLC,,,,4.7,Rockford,IL,4.7,0,55,WARM
Chi Resin Custom Coatings,,,,4.9,Rockford,IL,4.9,0,55,WARM
ECM Epoxy Flooring,,,,5.0,Rockford,IL,5,0,55,WARM
Majestic Coatings - Epoxy Floors,,,,5.0,Rockford,IL,5,0,55,WARM
Flawless Epoxy Inc,,,,4.9,Rockford,IL,4.9,0,55,WARM
Diamond Finish Epoxy,,,,5.0,Rockford,IL,5,0,55,WARM
EpoxyCraft Epoxy Flooring,,,,5.0,Rockford,IL,5,0,55,WARM
Epoxy Champions,,,,5.0,Rockford,IL,5,0,55,WARM
A to Z Epoxy LLC,,,,5.0,Rockford,IL,5,0,55,WARM
Ace Epoxy Coatings,,,,5.0,Rockford,IL,5,0,55,WARM
Affordable Epoxy LLC,,,,4.9,Rockford,IL,4.9,0,55,WARM
Elegant Epoxy FloorCare,,,,5.0,Rockford,IL,5,0,55,WARM
Superior Epoxy Flooring,,,,4.7,Rockford,IL,4.7,0,55,WARM
Epoxy Floor Chicago,,,,5.0,Rockford,IL,5,0,55,WARM
Roder Epoxy LLC,,,,5.0,Rockford,IL,5,0,55,WARM
Lifestyle-Garage Concrete Floor Coatings,,,,4.9,Rockford,IL,4.9,0,50,WARM
Superior Epoxy,,,,4.3,Rockford,IL,4.3,0,50,WARM
Bove's Auto Repair,,,,4.8,Rockford,IL,4.8,0,50,WARM
Andys Automotive Repair,,,,5.0,Rockford,IL,5,0,50,WARM
Gottman's Automotive Service,,,,4.8,Rockford,IL,4.8,0,50,WARM
"HyTech Automotive, Inc.",,,,4.7,Rockford,IL,4.7,0,50,WARM
Premier Auto Repairs,,,,5.0,Rockford,IL,5,0,50,WARM
Grote Automotive - Rockford,,,,4.6,Rockford,IL,4.6,0,50,WARM
Auto Body Specialists Inc,,,,4.7,Rockford,IL,4.7,0,50,WARM
Clendening Auto Body,,,,4.9,Rockford,IL,4.9,0,50,WARM
Leo's Auto Body,,,,4.8,Rockford,IL,4.8,0,50,WARM
P&L Auto Body Inc.,,,,4.9,Rockford,IL,4.9,0,50,WARM
"Village Auto Body Repair, Inc",,,,4.8,Rockford,IL,4.8,0,50,WARM
J R's Truck Repair,,,,4.6,Rockford,IL,4.6,0,50,WARM
Scott's RV Truck and Auto Repair,,,,4.7,Rockford,IL,4.7,0,50,WARM
Rockford Pro’s Truck repair,,,,4.9,Rockford,IL,4.9,0,50,WARM
BA MOBILE TRUCK REPAIR LLC,,,,4.6,Rockford,IL,4.6,0,50,WARM
"Fleet Maintenance Services Peru, IL",,,,5.0,Rockford,IL,5,0,50,WARM
J&A Fleet Maintenance,,,,4.5,Rockford,IL,4.5,0,50,WARM
"Folkerts Manufacturing, Inc",,,,5.0,Rockford,IL,5,0,50,WARM
The Factory Roofing,,,,5.0,Rockford,IL,5,0,50,WARM
425 Manufacturing,,,,5.0,Rockford,IL,5,0,50,WARM
Warehouse Distribution Services LLC,,,,5.0,Rockford,IL,5,0,50,WARM
Parkside Warehouse Inc,,,,4.5,Rockford,IL,4.5,0,50,WARM
PCI warehouse,,,,4.6,Rockford,IL,4.6,0,50,WARM
Pella Window and Door Office/Warehouse of Rockford,,,,4.6,Rockford,IL,4.6,0,50,WARM
Meiborg Harrison Ave - Warehouse,,,,4.6,Rockford,IL,4.6,0,50,WARM
Area Mechanical Inc,,,,4.7,Rockford,IL,4.7,0,50,WARM
De Reu Decorative Concrete,,,,4.0,Rockford,IL,4,0,50,WARM
Garage Force of East Central lllinois,,,,4.8,Rockford,IL,4.8,0,50,WARM
Garage Force of Fox Valley,,,,5.0,Rockford,IL,5,0,50,WARM
GarageExperts of Central Illinois,,,,5.0,Rockford,IL,5,0,50,WARM
Garage Force of Schaumburg,,,,5.0,Rockford,IL,5,0,50,WARM
Siffron Warehouse,,,,4.5,Rockford,IL,4.5,0,50,WARM
Garage Cabinets Unlimited,,,,5.0,Rockford,IL,5,0,50,WARM
Garage Flooring Experts,,,,4.8,Rockford,IL,4.8,0,50,WARM
Car Line Auto Body,,,,5.0,Rockford,IL,5,0,50,WARM
Power Road Auto Body,,,,4.6,Rockford,IL,4.6,0,50,WARM
Tonys Auto Repair Rockford,,,,4.4,Rockford,IL,4.4,0,45,COLD
A & M Auto Repair,,,,4.3,Rockford,IL,4.3,0,45,COLD
Rockford Liquidation Warehouse,,,,4.1,Rockford,IL,4.1,0,45,COLD
Lowe's Regional Distribution Center,,,,4.3,Rockford,IL,4.3,0,45,COLD
Lowe's Distribution Center,,,,4.1,Rockford,IL,4.1,0,45,COLD
Builders Warehouse,,,,4.1,Rockford,IL,4.1,0,45,COLD
Anderson Automotive Group,,,,4.2,Rockford,IL,4.2,0,45,COLD
AT Hardwood Flooring Inc,,,,5.0(27),Rockford,IL,5,27,45,COLD
Epoxy Rockford,,,,· 3944 Auburn St,Rockford,IL,0,0,40,COLD
Rockford Auto Repair,,,,3.8,Rockford,IL,3.8,0,40,COLD
Carpenter's Auto Repair,,,,3.8,Rockford,IL,3.8,0,40,COLD
AA Heavy Truck Repair,,,,3.7,Rockford,IL,3.7,0,40,COLD
Brynolf Manufacturing Inc,,,,3.9,Rockford,IL,3.9,0,40,COLD
Fleet Maintenance & Repair Inc.,,,,3.6,Rockford,IL,3.6,0,40,COLD
Custom Concrete Coatings,,,,5.0,Rockford,IL,5,0,35,COLD
FM Floor Coatings,,,,5.0,Rockford,IL,5,0,35,COLD
Floorplay Handyman Services,,,,4.6,Rockford,IL,4.6,0,35,COLD
ME Coatings,,,,5.0,Rockford,IL,5,0,35,COLD
Alpine Flooring,,,,5.0,Rockford,IL,5,0,35,COLD
